"outcome","season","stage","match_id","home_team_goal","away_team_goal","country_name","league_name","home_buildUpPlaySpeed","home_buildUpPlayPassing","home_chanceCreationPassing","home_chanceCreationCrossing","home_chanceCreationShooting","home_defencePressure","home_defenceAggression","home_defenceTeamWidth","away_buildUpPlaySpeed","away_buildUpPlayPassing","away_chanceCreationPassing","away_chanceCreationCrossing","away_chanceCreationShooting","away_defencePressure","away_defenceAggression","away_defenceTeamWidth","home_buildUpPlayDribblingClass","home_buildUpPlayPositioningClass","home_chanceCreationPositioningClass","home_defenceDefenderLineClass","away_buildUpPlayDribblingClass","away_buildUpPlayPositioningClass","away_chanceCreationPositioningClass","away_defenceDefenderLineClass"
"H","2008/2009","11",492576,2,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","11",492577,1,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","11",492578,1,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","11",492579,0,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","11",492580,1,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","11",492581,1,3,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","12",492582,1,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","12",492583,1,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","12",492584,2,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","12",492585,1,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","12",492586,1,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","12",492587,0,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","12",492588,2,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","12",492589,3,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","12",492590,3,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","13",492591,2,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","13",492592,3,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","13",492622,1,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","13",492623,3,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","13",492624,2,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","13",492628,2,3,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","13",492631,2,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","13",492636,1,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","13",492638,0,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","14",492649,3,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","14",492651,3,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","14",492658,4,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","14",492662,4,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","14",492664,0,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","14",492666,0,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","14",492670,2,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","14",492674,3,3,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","14",492677,2,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","15",492683,5,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","15",492686,1,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","15",492689,5,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","15",492692,1,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","15",492693,3,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","15",492696,2,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","15",492699,1,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","15",492702,3,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","15",492706,3,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","16",492709,1,4,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","16",492713,1,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","16",492717,2,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","16",492720,1,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","16",492722,1,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","16",492724,2,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","16",492728,0,3,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","16",492734,2,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","16",492735,1,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","17",492742,2,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","17",492745,2,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","17",492746,2,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","17",492749,2,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","17",492753,4,3,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","17",492757,2,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","17",492758,5,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","17",492760,0,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","17",492763,2,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","18",492769,4,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","18",492772,2,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","18",492775,1,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","18",492779,1,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","18",492781,3,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","18",492782,3,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","18",492785,2,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","18",492789,1,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","18",492792,1,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","19",492798,3,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","19",492801,1,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","19",492804,0,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","19",492805,2,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","19",492807,3,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","19",492810,2,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","19",492814,2,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","19",492817,0,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","19",492819,0,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","2",492482,2,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","2",492483,2,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","2",492484,3,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","2",492485,3,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","2",492486,1,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","2",492487,4,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","2",492488,3,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","2",492489,2,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","2",492490,1,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","20",492822,1,3,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","20",492844,1,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","20",492845,1,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","20",492847,2,5,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","20",492849,0,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","20",492851,1,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","20",492853,3,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","20",492856,3,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","20",492858,2,1,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","21",492989,0,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","21",492990,0,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","21",492991,3,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","21",492992,1,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","2008/2009","21",492993,2,2,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H","2008/2009","21",492994,1,0,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A","2008/2009","21",492995,1,5,"Belgium","Belgium Jupiler League",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
